,left,right,left|right
0,['baking powder'],['whole milk'],0.5229885057471264
1,"['other vegetables', 'long life bakery product']",['whole milk'],0.5333333333333333
2,"['yogurt', 'butter']",['whole milk'],0.6388888888888888
3,"['yogurt', 'tropical fruit']",['whole milk'],0.517361111111111
4,"['tropical fruit', 'curd']",['whole milk'],0.6336633663366337
5,"['citrus fruit', 'butter']",['whole milk'],0.5555555555555555
6,"['tropical fruit', 'butter']",['whole milk'],0.6224489795918368
7,"['butter', 'bottled water']",['whole milk'],0.6022727272727273
8,"['yogurt', 'curd']",['whole milk'],0.5823529411764706
9,"['tropical fruit', 'curd']",['yogurt'],0.5148514851485149
10,"['root vegetables', 'rolls/buns']",['other vegetables'],0.502092050209205
11,"['tropical fruit', 'root vegetables']",['other vegetables'],0.5845410628019324
12,"['other vegetables', 'sugar']",['whole milk'],0.5849056603773586
13,"['other vegetables', 'whipped/sour cream']",['whole milk'],0.5070422535211268
14,"['yogurt', 'coffee']",['whole milk'],0.5208333333333333
15,"['tropical fruit', 'domestic eggs']",['whole milk'],0.6071428571428571
16,"['yogurt', 'domestic eggs']",['whole milk'],0.5390070921985816
17,"['root vegetables', 'brown bread']",['whole milk'],0.56
18,"['tropical fruit', 'pastry']",['whole milk'],0.5076923076923077
19,"['tropical fruit', 'brown bread']",['whole milk'],0.5333333333333333
20,"['root vegetables', 'pastry']",['whole milk'],0.5185185185185185
21,"['yogurt', 'pastry']",['whole milk'],0.5172413793103449
22,"['tropical fruit', 'root vegetables']",['whole milk'],0.570048309178744
23,"['root vegetables', 'domestic eggs']",['whole milk'],0.5957446808510639
24,"['yogurt', 'root vegetables']",['whole milk'],0.562992125984252
25,"['root vegetables', 'curd']",['other vegetables'],0.5046728971962617
26,"['root vegetables', 'butter']",['other vegetables'],0.5118110236220472
27,"['root vegetables', 'whipped/sour cream']",['other vegetables'],0.5
28,"['butter', 'whipped/sour cream']",['other vegetables'],0.5700000000000001
29,"['tropical fruit', 'curd']",['other vegetables'],0.5148514851485149
30,"['other vegetables', 'frozen vegetables']",['whole milk'],0.5428571428571428
31,"['citrus fruit', 'domestic eggs']",['whole milk'],0.5490196078431373
32,"['root vegetables', 'frozen vegetables']",['whole milk'],0.5350877192982456
33,"['root vegetables', 'fruit/vegetable juice']",['whole milk'],0.5423728813559322
34,"['margarine', 'domestic eggs']",['whole milk'],0.6219512195121952
35,"['root vegetables', 'rolls/buns']",['whole milk'],0.5230125523012552
36,"['margarine', 'rolls/buns']",['whole milk'],0.5379310344827587
37,"['rolls/buns', 'frozen vegetables']",['whole milk'],0.5
38,"['root vegetables', 'citrus fruit']",['other vegetables'],0.5862068965517241
39,"['tropical fruit', 'butter']",['other vegetables'],0.5510204081632654
40,"['chicken', 'root vegetables']",['other vegetables'],0.5233644859813085
41,"['pork', 'rolls/buns']",['whole milk'],0.5495495495495495
42,"['yogurt', 'fruit/vegetable juice']",['whole milk'],0.5054347826086957
43,"['yogurt', 'bottled beer']",['whole milk'],0.5604395604395604
44,"['whipped/sour cream', 'rolls/buns']",['whole milk'],0.5347222222222222
45,"['other vegetables', 'domestic eggs']",['whole milk'],0.5525114155251142
46,"['sausage', 'pip fruit']",['whole milk'],0.5188679245283019
47,"['domestic eggs', 'pip fruit']",['whole milk'],0.6235294117647059
48,"['frankfurter', 'tropical fruit']",['whole milk'],0.5483870967741935
49,"['tropical fruit', 'sausage']",['whole milk'],0.5182481751824818
50,"['other vegetables', 'pip fruit']",['whole milk'],0.5175097276264592
51,"['root vegetables', 'frozen vegetables']",['other vegetables'],0.5263157894736842
52,"['yogurt', 'other vegetables']",['whole milk'],0.5128805620608898
53,"['yogurt', 'root vegetables']",['other vegetables'],0.5
54,"['root vegetables', 'fruit/vegetable juice']",['other vegetables'],0.5508474576271186
55,"['other vegetables', 'brown bread']",['whole milk'],0.5
56,"['other vegetables', 'butter']",['whole milk'],0.5736040609137055
57,"['tropical fruit', 'whipped/sour cream']",['other vegetables'],0.5661764705882353
58,"['root vegetables', 'butter']",['whole milk'],0.6377952755905512
59,"['butter', 'domestic eggs']",['whole milk'],0.6210526315789474
60,"['whipped/sour cream', 'pip fruit']",['whole milk'],0.6483516483516485
61,"['yogurt', 'cream cheese ']",['whole milk'],0.5327868852459017
62,"['whipped/sour cream', 'curd']",['whole milk'],0.5631067961165048
63,"['root vegetables', 'pip fruit']",['whole milk'],0.5751633986928104
64,"['tropical fruit', 'whipped/sour cream']",['whole milk'],0.573529411764706
65,"['root vegetables', 'whipped/sour cream']",['whole milk'],0.5535714285714286
66,"['other vegetables', 'curd']",['whole milk'],0.5739644970414202
67,"['yogurt', 'frankfurter']",['whole milk'],0.5545454545454546
68,"['yogurt', 'whipped/sour cream']",['whole milk'],0.5245098039215685
69,"['yogurt', 'pip fruit']",['whole milk'],0.5310734463276836
70,"['root vegetables', 'domestic eggs']",['other vegetables'],0.5106382978723404
71,"['butter', 'whipped/sour cream']",['whole milk'],0.66
72,"['whipped/sour cream', 'pip fruit']",['other vegetables'],0.6043956043956045
73,"['frankfurter', 'root vegetables']",['whole milk'],0.5
74,"['root vegetables', 'curd']",['whole milk'],0.5700934579439252
75,"['root vegetables', 'pip fruit']",['other vegetables'],0.5228758169934641
76,"['whipped/sour cream', 'domestic eggs']",['other vegetables'],0.5102040816326531
77,"['whipped/sour cream', 'domestic eggs']",['whole milk'],0.5714285714285715
78,"['root vegetables', 'pork']",['whole milk'],0.5
79,"['root vegetables', 'pork']",['other vegetables'],0.5149253731343284
80,"['rolls/buns', 'beef']",['whole milk'],0.5
81,"['citrus fruit', 'whipped/sour cream']",['other vegetables'],0.5233644859813085
82,"['citrus fruit', 'whipped/sour cream']",['whole milk'],0.5794392523364487
83,"['sausage', 'whipped/sour cream']",['whole milk'],0.5617977528089887
84,"['root vegetables', 'shopping bags']",['other vegetables'],0.5158730158730159
85,"['curd', 'rolls/buns']",['whole milk'],0.5858585858585859
86,"['root vegetables', 'pastry']",['other vegetables'],0.537037037037037
87,"['whole milk', 'onions']",['other vegetables'],0.546218487394958
88,"['other vegetables', 'hygiene articles']",['whole milk'],0.5425531914893618
89,"['citrus fruit', 'root vegetables']",['whole milk'],0.5172413793103449
90,"['margarine', 'root vegetables']",['other vegetables'],0.5321100917431192
91,"['chicken', 'rolls/buns']",['whole milk'],0.5473684210526316
92,"['chicken', 'root vegetables']",['whole milk'],0.5514018691588786
93,"['oil', 'other vegetables']",['whole milk'],0.5102040816326531
94,"['sausage', 'root vegetables']",['whole milk'],0.5170068027210885
95,"['onions', 'root vegetables']",['other vegetables'],0.6021505376344086
96,"['yogurt', 'beef']",['whole milk'],0.5217391304347826
97,"['newspapers', 'root vegetables']",['whole milk'],0.504424778761062
98,"['newspapers', 'root vegetables']",['other vegetables'],0.5221238938053098
99,"['yogurt', 'tropical fruit', 'root vegetables']",['whole milk'],0.7000000000000001
100,"['yogurt', 'other vegetables', 'fruit/vegetable juice']",['whole milk'],0.6172839506172838
101,"['whole milk', 'yogurt', 'fruit/vegetable juice']",['other vegetables'],0.5376344086021505
102,"['yogurt', 'other vegetables', 'root vegetables']",['whole milk'],0.6062992125984252
103,"['whole milk', 'yogurt', 'root vegetables']",['other vegetables'],0.5384615384615385
104,"['yogurt', 'other vegetables', 'tropical fruit']",['whole milk'],0.6198347107438016
105,"['whole milk', 'yogurt', 'tropical fruit']",['other vegetables'],0.5033557046979866
106,"['yogurt', 'other vegetables', 'whipped/sour cream']",['whole milk'],0.55
107,"['whole milk', 'yogurt', 'whipped/sour cream']",['other vegetables'],0.514018691588785
108,"['other vegetables', 'root vegetables', 'pip fruit']",['whole milk'],0.675
109,"['whole milk', 'root vegetables', 'pip fruit']",['other vegetables'],0.6136363636363636
110,"['yogurt', 'other vegetables', 'pip fruit']",['whole milk'],0.625
111,"['whole milk', 'yogurt', 'pip fruit']",['other vegetables'],0.5319148936170213
112,"['other vegetables', 'root vegetables', 'whipped/sour cream']",['whole milk'],0.6071428571428571
113,"['whole milk', 'root vegetables', 'whipped/sour cream']",['other vegetables'],0.5483870967741935
114,"['root vegetables', 'other vegetables', 'tropical fruit']",['whole milk'],0.5702479338842975
115,"['whole milk', 'tropical fruit', 'root vegetables']",['other vegetables'],0.5847457627118644
116,"['other vegetables', 'root vegetables', 'rolls/buns']",['whole milk'],0.5083333333333333
117,"['yogurt', 'other vegetables', 'rolls/buns']",['whole milk'],0.5221238938053098
118,"['root vegetables', 'other vegetables', 'citrus fruit']",['whole milk'],0.5588235294117647
119,"['whole milk', 'root vegetables', 'citrus fruit']",['other vegetables'],0.6333333333333333
